"periode_pengujian","nama_lokasi","parameter","satuan","nilai"
"Periode 2"," Pela Mampang ","Suhu","(Celcius)","24.9"
"Periode 2"," Pela Mampang ","Bakteri Koli","(Jlm/100mL)","100"
"Periode 2"," Guntur ","Zat Padat Terlarut","(mg/L)","100.7"
"Periode 2"," Guntur ","Kekeruhan","NTU","1"
"Periode 2"," Guntur ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Guntur ","Fluorida","(mg/L)","0.05"
"Periode 2"," Guntur ","Total Hardness","(mg/L)","47.83"
"Periode 2"," Guntur ","Chlorida","(mg/L)","2.95"
"Periode 2"," Guntur ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Guntur ","Nitrat","(mg/L)","0.68"
"Periode 2"," Guntur ","Nitrit","(mg/L)","0.003"
"Periode 2"," Guntur ","Ph","(mg/L)","7.5"
"Periode 2"," Guntur ","Seng (Zn)","(mg/L)","0.01"
"Periode 2"," Guntur ","Sulfat","(mg/L)","8.5"
"Periode 2"," Guntur ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Guntur ","Organik (KMnO4)","(mg/L)","1.48"
"Periode 2"," Guntur ","Suhu","(Celcius)","23.5"
"Periode 2"," Guntur ","Bakteri Koli","(Jlm/100mL)","0"
"Periode 2"," Menteng Atas ","Zat Padat Terlarut","(mg/L)","154"
"Periode 2"," Menteng Atas ","Kekeruhan","NTU","0.1"
"Periode 2"," Menteng Atas ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Menteng Atas ","Fluorida","(mg/L)","0.05"
"Periode 2"," Menteng Atas ","Total Hardness","(mg/L)","47.83"
"Periode 2"," Menteng Atas ","Chlorida","(mg/L)","33.95"
"Periode 2"," Menteng Atas ","Mangan (Mn)","(mg/L)","0.15"
"Periode 2"," Menteng Atas ","Nitrat","(mg/L)","2.29"
"Periode 2"," Menteng Atas ","Nitrit","(mg/L)","0.003"
"Periode 2"," Menteng Atas ","Ph","(mg/L)","5.1"
"Periode 2"," Menteng Atas ","Seng (Zn)","(mg/L)","0.03"
"Periode 2"," Menteng Atas ","Sulfat","(mg/L)","10.85"
"Periode 2"," Menteng Atas ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Menteng Atas ","Organik (KMnO4)","(mg/L)","2.21"
"Periode 2"," Menteng Atas ","Suhu","(Celcius)","23.6"
"Periode 2"," Menteng Atas ","Bakteri Koli","(Jlm/100mL)","0"
"Periode 2"," Pasar Manggis ","Zat Padat Terlarut","(mg/L)","125"
"Periode 2"," Pasar Manggis ","Kekeruhan","NTU","0.1"
"Periode 2"," Pasar Manggis ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Pasar Manggis ","Fluorida","(mg/L)","0.05"
"Periode 2"," Pasar Manggis ","Total Hardness","(mg/L)","50"
"Periode 2"," Pasar Manggis ","Chlorida","(mg/L)","14.76"
"Periode 2"," Pasar Manggis ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Pasar Manggis ","Nitrat","(mg/L)","5.95"
"Periode 2"," Pasar Manggis ","Nitrit","(mg/L)","0.003"
"Periode 2"," Pasar Manggis ","Ph","(mg/L)","6.2"
"Periode 2"," Pasar Manggis ","Seng (Zn)","(mg/L)","0.01"
"Periode 2"," Pasar Manggis ","Sulfat","(mg/L)","11.01"
"Periode 2"," Pasar Manggis ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Pasar Manggis ","Organik (KMnO4)","(mg/L)","1.31"
"Periode 2"," Pasar Manggis ","Suhu","(Celcius)","23.6"
"Periode 2"," Pasar Manggis ","Bakteri Koli","(Jlm/100mL)","200"
"Periode 2"," Setiabudi ","Zat Padat Terlarut","(mg/L)","66.7"
"Periode 2"," Setiabudi ","Kekeruhan","NTU","0.1"
"Periode 2"," Setiabudi ","Besi (Fe)","(mg/L)","0.19"
"Periode 2"," Setiabudi ","Fluorida","(mg/L)","0.05"
"Periode 2"," Setiabudi ","Total Hardness","(mg/L)","26.09"
"Periode 2"," Setiabudi ","Chlorida","(mg/L)","15.25"
"Periode 2"," Setiabudi ","Mangan (Mn)","(mg/L)","0.77"
"Periode 2"," Setiabudi ","Nitrat","(mg/L)","4.81"
"Periode 2"," Setiabudi ","Nitrit","(mg/L)","0.003"
"Periode 2"," Setiabudi ","Ph","(mg/L)","6"
"Periode 2"," Setiabudi ","Seng (Zn)","(mg/L)","0.01"
"Periode 2"," Setiabudi ","Sulfat","(mg/L)","10.96"
"Periode 2"," Setiabudi ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Setiabudi ","Organik (KMnO4)","(mg/L)","1.89"
"Periode 2"," Setiabudi ","Suhu","(Celcius)","23.4"
"Periode 2"," Setiabudi ","Bakteri Koli","(Jlm/100mL)","0"
"Periode 2"," Karet ","Zat Padat Terlarut","(mg/L)","134"
"Periode 2"," Karet ","Kekeruhan","NTU","11.2"
"Periode 2"," Karet ","Besi (Fe)","(mg/L)","0.3"
"Periode 2"," Karet ","Fluorida","(mg/L)","0.05"
"Periode 2"," Karet ","Total Hardness","(mg/L)","54.35"
"Periode 2"," Karet ","Chlorida","(mg/L)","7.38"
"Periode 2"," Karet ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Karet ","Nitrat","(mg/L)","0.85"
"Periode 2"," Karet ","Nitrit","(mg/L)","0.003"
"Periode 2"," Karet ","Ph","(mg/L)","6.8"
"Periode 2"," Karet ","Seng (Zn)","(mg/L)","0.01"
"Periode 2"," Karet ","Sulfat","(mg/L)","24.1"
"Periode 2"," Karet ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Karet ","Organik (KMnO4)","(mg/L)","1.61"
"Periode 2"," Karet ","Suhu","(Celcius)","23.5"
"Periode 2"," Karet ","Bakteri Koli","(Jlm/100mL)","200"
"Periode 2"," Kuningan Timur ","Zat Padat Terlarut","(mg/L)","196"
"Periode 2"," Kuningan Timur ","Kekeruhan","NTU","0.1"
"Periode 2"," Kuningan Timur ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Kuningan Timur ","Fluorida","(mg/L)","0.05"
"Periode 2"," Kuningan Timur ","Total Hardness","(mg/L)","80.43"
"Periode 2"," Kuningan Timur ","Chlorida","(mg/L)","26.57"
"Periode 2"," Kuningan Timur ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Kuningan Timur ","Nitrat","(mg/L)","3.86"
"Periode 2"," Kuningan Timur ","Nitrit","(mg/L)","0.003"
"Periode 2"," Kuningan Timur ","Ph","(mg/L)","6.7"
"Periode 2"," Kuningan Timur ","Seng (Zn)","(mg/L)","0.04"
"Periode 2"," Kuningan Timur ","Sulfat","(mg/L)","21.5"
"Periode 2"," Kuningan Timur ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Kuningan Timur ","Organik (KMnO4)","(mg/L)","1.23"
"Periode 2"," Kuningan Timur ","Suhu","(Celcius)","23.5"
"Periode 2"," Kuningan Timur ","Bakteri Koli","(Jlm/100mL)","300"
"Periode 2"," Karet Kuningan ","Zat Padat Terlarut","(mg/L)","113"
"Periode 2"," Karet Kuningan ","Kekeruhan","NTU","0.1"
"Periode 2"," Karet Kuningan ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Karet Kuningan ","Fluorida","(mg/L)","0.05"
"Periode 2"," Karet Kuningan ","Total Hardness","(mg/L)","41.3"
"Periode 2"," Karet Kuningan ","Chlorida","(mg/L)","22.14"
"Periode 2"," Karet Kuningan ","Mangan (Mn)","(mg/L)","0.08"
"Periode 2"," Karet Kuningan ","Nitrat","(mg/L)","2.53"
"Periode 2"," Karet Kuningan ","Nitrit","(mg/L)","0.004"
"Periode 2"," Karet Kuningan ","Ph","(mg/L)","5.6"
"Periode 2"," Karet Kuningan ","Seng (Zn)","(mg/L)","0.04"
"Periode 2"," Karet Kuningan ","Sulfat","(mg/L)","8.33"
"Periode 2"," Karet Kuningan ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Karet Kuningan ","Organik (KMnO4)","(mg/L)","1.73"
"Periode 2"," Karet Kuningan ","Suhu","(Celcius)","23.8"
"Periode 2"," Karet Kuningan ","Bakteri Koli","(Jlm/100mL)","100"
"Periode 2"," KARET Semanggi ","Zat Padat Terlarut","(mg/L)","133"
"Periode 2"," KARET Semanggi ","Kekeruhan","NTU","0.1"
"Periode 2"," KARET Semanggi ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," KARET Semanggi ","Fluorida","(mg/L)","0.05"
"Periode 2"," KARET Semanggi ","Total Hardness","(mg/L)","34.78"
"Periode 2"," KARET Semanggi ","Chlorida","(mg/L)","29.52"
"Periode 2"," KARET Semanggi ","Mangan (Mn)","(mg/L)","0.71"
"Periode 2"," KARET Semanggi ","Nitrat","(mg/L)","2.58"
"Periode 2"," KARET Semanggi ","Nitrit","(mg/L)","0.004"
"Periode 2"," KARET Semanggi ","Ph","(mg/L)","4.7"
"Periode 2"," KARET Semanggi ","Seng (Zn)","(mg/L)","0.07"
"Periode 2"," KARET Semanggi ","Sulfat","(mg/L)","9.92"
"Periode 2"," KARET Semanggi ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," KARET Semanggi ","Organik (KMnO4)","(mg/L)","2.11"
"Periode 2"," KARET Semanggi ","Suhu","(Celcius)","23.7"
"Periode 2"," KARET Semanggi ","Bakteri Koli","(Jlm/100mL)","0"
"Periode 2"," Menteng Dalam ","Zat Padat Terlarut","(mg/L)","118"
"Periode 2"," Menteng Dalam ","Kekeruhan","NTU","10.7"
"Periode 2"," Menteng Dalam ","Besi (Fe)","(mg/L)","0.29"
"Periode 2"," Menteng Dalam ","Fluorida","(mg/L)","0.05"
"Periode 2"," Menteng Dalam ","Total Hardness","(mg/L)","58.7"
"Periode 2"," Menteng Dalam ","Chlorida","(mg/L)","3.94"
"Periode 2"," Menteng Dalam ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Menteng Dalam ","Nitrat","(mg/L)","0.54"
"Periode 2"," Menteng Dalam ","Nitrit","(mg/L)","0.003"
"Periode 2"," Menteng Dalam ","Ph","(mg/L)","7.1"
"Periode 2"," Menteng Dalam ","Seng (Zn)","(mg/L)","0.01"
"Periode 2"," Menteng Dalam ","Sulfat","(mg/L)","9.61"
"Periode 2"," Menteng Dalam ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Menteng Dalam ","Organik (KMnO4)","(mg/L)","1.1"
"Periode 2"," Menteng Dalam ","Suhu","(Celcius)","23.6"
"Periode 2"," Menteng Dalam ","Bakteri Koli","(Jlm/100mL)","2.2 x 104"
"Periode 2"," Kebon Baru ","Zat Padat Terlarut","(mg/L)","285"
"Periode 2"," Kebon Baru ","Kekeruhan","NTU","0.1"
"Periode 2"," Kebon Baru ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Kebon Baru ","Fluorida","(mg/L)","0.05"
"Periode 2"," Kebon Baru ","Total Hardness","(mg/L)","119.57"
"Periode 2"," Kebon Baru ","Chlorida","(mg/L)","41.82"
"Periode 2"," Kebon Baru ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Kebon Baru ","Nitrat","(mg/L)","5.61"
"Periode 2"," Kebon Baru ","Nitrit","(mg/L)","0.047"
"Periode 2"," Kebon Baru ","Ph","(mg/L)","6.8"
"Periode 2"," Kebon Baru ","Seng (Zn)","(mg/L)","0.02"
"Periode 2"," Kebon Baru ","Sulfat","(mg/L)","33.71"
"Periode 2"," Kebon Baru ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Kebon Baru ","Organik (KMnO4)","(mg/L)","2.78"
"Periode 2"," Kebon Baru ","Suhu","(Celcius)","23.5"
"Periode 2"," Kebon Baru ","Bakteri Koli","(Jlm/100mL)","2.98 x 104"
"Periode 2"," Tebet Timur ","Zat Padat Terlarut","(mg/L)","106.1"
"Periode 2"," Tebet Timur ","Kekeruhan","NTU","0.1"
"Periode 2"," Tebet Timur ","Besi (Fe)","(mg/L)","0.1"
"Periode 2"," Tebet Timur ","Fluorida","(mg/L)","0.05"
"Periode 2"," Tebet Timur ","Total Hardness","(mg/L)","47.83"
"Periode 2"," Tebet Timur ","Chlorida","(mg/L)","12.79"
"Periode 2"," Tebet Timur ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Tebet Timur ","Nitrat","(mg/L)","5.4"
"Periode 2"," Tebet Timur ","Nitrit","(mg/L)","0.003"
"Periode 2"," Tebet Timur ","Ph","(mg/L)","6.6"
"Periode 2"," Tebet Timur ","Seng (Zn)","(mg/L)","0.02"
"Periode 2"," Tebet Timur ","Sulfat","(mg/L)","9.24"
"Periode 2"," Tebet Timur ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Tebet Timur ","Organik (KMnO4)","(mg/L)","0.91"
"Periode 2"," Tebet Timur ","Suhu","(Celcius)","23.4"
"Periode 2"," Tebet Timur ","Bakteri Koli","(Jlm/100mL)","6 x 103"
"Periode 2"," Bukit Duri ","Zat Padat Terlarut","(mg/L)","72.3"
"Periode 2"," Bukit Duri ","Kekeruhan","NTU","0.1"
"Periode 2"," Bukit Duri ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Bukit Duri ","Fluorida","(mg/L)","0.05"
"Periode 2"," Bukit Duri ","Total Hardness","(mg/L)","32.61"
"Periode 2"," Bukit Duri ","Chlorida","(mg/L)","6.4"
"Periode 2"," Bukit Duri ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Bukit Duri ","Nitrat","(mg/L)","5.19"
"Periode 2"," Bukit Duri ","Nitrit","(mg/L)","0.003"
"Periode 2"," Bukit Duri ","Ph","(mg/L)","6.3"
"Periode 2"," Bukit Duri ","Seng (Zn)","(mg/L)","0.01"
"Periode 2"," Bukit Duri ","Sulfat","(mg/L)","11.61"
"Periode 2"," Bukit Duri ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Bukit Duri ","Organik (KMnO4)","(mg/L)","1.7"
"Periode 2"," Bukit Duri ","Suhu","(Celcius)","23.5"
"Periode 2"," Bukit Duri ","Bakteri Koli","(Jlm/100mL)","200"
"Periode 2"," Manggarai ","Zat Padat Terlarut","(mg/L)","155"
"Periode 2"," Manggarai ","Kekeruhan","NTU","0.01"
"Periode 2"," Manggarai ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Manggarai ","Fluorida","(mg/L)","0.37"
"Periode 2"," Manggarai ","Total Hardness","(mg/L)","60.87"
"Periode 2"," Manggarai ","Chlorida","(mg/L)","21.15"
"Periode 2"," Manggarai ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Manggarai ","Nitrat","(mg/L)","7.12"
"Periode 2"," Manggarai ","Nitrit","(mg/L)","0.003"
"Periode 2"," Manggarai ","Ph","(mg/L)","6.4"
"Periode 2"," Manggarai ","Seng (Zn)","(mg/L)","0.02"
"Periode 2"," Manggarai ","Sulfat","(mg/L)","9.4"
"Periode 2"," Manggarai ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Manggarai ","Organik (KMnO4)","(mg/L)","0.6"
"Periode 2"," Manggarai ","Suhu","(Celcius)","23.5"
"Periode 2"," Manggarai ","Bakteri Koli","(Jlm/100mL)","0"
"Periode 2"," Tebet Barat ","Zat Padat Terlarut","(mg/L)","200"
"Periode 2"," Tebet Barat ","Kekeruhan","NTU","0.1"
"Periode 2"," Tebet Barat ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Tebet Barat ","Fluorida","(mg/L)","0.03"
"Periode 2"," Tebet Barat ","Total Hardness","(mg/L)","76.09"
"Periode 2"," Tebet Barat ","Chlorida","(mg/L)","35.91"
"Periode 2"," Tebet Barat ","Mangan (Mn)","(mg/L)","0.05"
"Periode 2"," Tebet Barat ","Nitrat","(mg/L)","1.91"
"Periode 2"," Tebet Barat ","Nitrit","(mg/L)","0.003"
"Periode 2"," Tebet Barat ","Ph","(mg/L)","6.2"
"Periode 2"," Tebet Barat ","Seng (Zn)","(mg/L)","0.01"
"Periode 2"," Tebet Barat ","Sulfat","(mg/L)","10.6"
"Periode 2"," Tebet Barat ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Tebet Barat ","Organik (KMnO4)","(mg/L)","2.08"
"Periode 2"," Tebet Barat ","Suhu","(Celcius)","23.5"
"Periode 2"," Tebet Barat ","Bakteri Koli","(Jlm/100mL)","0"
"Periode 2"," Manggarai Selatan ","Zat Padat Terlarut","(mg/L)","191"
"Periode 2"," Manggarai Selatan ","Kekeruhan","NTU","12.1"
"Periode 2"," Manggarai Selatan ","Besi (Fe)","(mg/L)","0.3"
"Periode 2"," Manggarai Selatan ","Fluorida","(mg/L)","0.04"
"Periode 2"," Manggarai Selatan ","Total Hardness","(mg/L)","80.43"
"Periode 2"," Manggarai Selatan ","Chlorida","(mg/L)","22.63"
"Periode 2"," Manggarai Selatan ","Mangan (Mn)","(mg/L)","0.09"
"Periode 2"," Manggarai Selatan ","Nitrat","(mg/L)","0.69"
"Periode 2"," Manggarai Selatan ","Nitrit","(mg/L)","0.003"
"Periode 2"," Manggarai Selatan ","Ph","(mg/L)","6.8"
"Periode 2"," Manggarai Selatan ","Seng (Zn)","(mg/L)","0.01"
"Periode 2"," Manggarai Selatan ","Sulfat","(mg/L)","12.47"
"Periode 2"," Manggarai Selatan ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Manggarai Selatan ","Organik (KMnO4)","(mg/L)","1.45"
"Periode 2"," Manggarai Selatan ","Suhu","(Celcius)","23.6"
"Periode 2"," Manggarai Selatan ","Bakteri Koli","(Jlm/100mL)","100"
"Periode 2"," Cilandak Timur ","Zat Padat Terlarut","(mg/L)","112"
"Periode 2"," Cilandak Timur ","Kekeruhan","NTU","0.1"
"Periode 2"," Cilandak Timur ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Cilandak Timur ","Fluorida","(mg/L)","0.03"
"Periode 2"," Cilandak Timur ","Total Hardness","(mg/L)","30.43"
"Periode 2"," Cilandak Timur ","Chlorida","(mg/L)","29.03"
"Periode 2"," Cilandak Timur ","Mangan (Mn)","(mg/L)","0.17"
"Periode 2"," Cilandak Timur ","Nitrat","(mg/L)","5.65"
"Periode 2"," Cilandak Timur ","Nitrit","(mg/L)","0.004"
"Periode 2"," Cilandak Timur ","Ph","(mg/L)","6.1"
"Periode 2"," Cilandak Timur ","Seng (Zn)","(mg/L)","0.4"
"Periode 2"," Cilandak Timur ","Sulfat","(mg/L)","13.57"
"Periode 2"," Cilandak Timur ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Cilandak Timur ","Organik (KMnO4)","(mg/L)","2.68"
"Periode 2"," Cilandak Timur ","Suhu","(Celcius)","23.5"
"Periode 2"," Cilandak Timur ","Bakteri Koli","(Jlm/100mL)","0"
"Periode 2"," Jati Padang ","Zat Padat Terlarut","(mg/L)","125"
"Periode 2"," Jati Padang ","Kekeruhan","NTU","2.1"
"Periode 2"," Jati Padang ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Jati Padang ","Fluorida","(mg/L)","0.2"
"Periode 2"," Jati Padang ","Total Hardness","(mg/L)","52.17"
"Periode 2"," Jati Padang ","Chlorida","(mg/L)","17.22"
"Periode 2"," Jati Padang ","Mangan (Mn)","(mg/L)","0.11"
"Periode 2"," Jati Padang ","Nitrat","(mg/L)","7.15"
"Periode 2"," Jati Padang ","Nitrit","(mg/L)","0.003"
"Periode 2"," Jati Padang ","Ph","(mg/L)","6.2"
"Periode 2"," Jati Padang ","Seng (Zn)","(mg/L)","0.04"
"Periode 2"," Jati Padang ","Sulfat","(mg/L)","11.14"
"Periode 2"," Jati Padang ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Jati Padang ","Organik (KMnO4)","(mg/L)","1.58"
"Periode 2"," Jati Padang ","Suhu","(Celcius)","23.7"
"Periode 2"," Jati Padang ","Bakteri Koli","(Jlm/100mL)","200"
"Periode 2"," Kebagusan ","Zat Padat Terlarut","(mg/L)","149"
"Periode 2"," Kebagusan ","Kekeruhan","NTU","0.1"
"Periode 2"," Kebagusan ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Kebagusan ","Fluorida","(mg/L)","0.03"
"Periode 2"," Kebagusan ","Total Hardness","(mg/L)","50"
"Periode 2"," Kebagusan ","Chlorida","(mg/L)","28.53"
"Periode 2"," Kebagusan ","Mangan (Mn)","(mg/L)","0.16"
"Periode 2"," Kebagusan ","Nitrat","(mg/L)","6.05"
"Periode 2"," Kebagusan ","Nitrit","(mg/L)","0.003"
"Periode 2"," Kebagusan ","Ph","(mg/L)","6"
"Periode 2"," Kebagusan ","Seng (Zn)","(mg/L)","0.02"
"Periode 2"," Kebagusan ","Sulfat","(mg/L)","14.91"
"Periode 2"," Kebagusan ","Senyawa Aktif Biru Metilen","(mg/L)","0.03"
"Periode 2"," Kebagusan ","Organik (KMnO4)","(mg/L)","1.96"
"Periode 2"," Kebagusan ","Suhu","(Celcius)","23.6"
"Periode 2"," Kebagusan ","Bakteri Koli","(Jlm/100mL)","0"
"Periode 2"," Pasar Minggui ","Zat Padat Terlarut","(mg/L)","254"
"Periode 2"," Pasar Minggui ","Kekeruhan","NTU","0.1"
"Periode 2"," Pasar Minggui ","Besi (Fe)","(mg/L)","0.08"
"Periode 2"," Pasar Minggui ","Fluorida","(mg/L)","0.12"
"Periode 2"," Pasar Minggui ","Total Hardness","(mg/L)","108.7"
"Periode 2"," Pasar Minggui ","Chlorida","(mg/L)","42.31"
"Periode 2"," Pasar Minggui ","Mangan (Mn)","(mg/L)","0.08"
"Periode 2"," Pasar Minggui ","Nitrat","(mg/L)","1.79"
"Periode 2"," Pasar Minggui ","Nitrit","(mg/L)","0.005"
"Periode 2"," Pasar Minggui ","Ph","(mg/L)","6.4"
